@relation DM_predicao_dataset

@attribute data date "dd/mm/yyyy"
@attribute dia {ter,qua,qui,sex,sab,dom,seg}
@attribute fluxo numeric

@data
01/11/2003,sab,13621
02/11/2003,dom,12268
03/11/2003,seg,14665
04/11/2003,ter,14885
05/11/2003,qua,14728
06/11/2003,qui,15029
07/11/2003,sex,15271
08/11/2003,sab,13759
09/11/2003,dom,12309
10/11/2003,seg,14618
11/11/2003,ter,15082
12/11/2003,qua,15300
13/11/2003,qui,15145
14/11/2003,sex,15018
15/11/2003,sab,13133
16/11/2003,dom,12407
17/11/2003,seg,14708
18/11/2003,ter,14973
19/11/2003,qua,14992
20/11/2003,qui,14937
21/11/2003,sex,14963
22/11/2003,sab,13721
23/11/2003,dom,12335
24/11/2003,seg,14640
25/11/2003,ter,15027
26/11/2003,qua,15146
27/11/2003,qui,15147
28/11/2003,sex,15087
29/11/2003,sab,13674
30/11/2003,dom,12474
01/12/2003,seg,14778
02/12/2003,ter,14973
03/12/2003,qua,15094
04/12/2003,qui,15180
05/12/2003,sex,15273
06/12/2003,sab,13948
07/12/2003,dom,12666
08/12/2003,seg,13752
09/12/2003,ter,15165
10/12/2003,qua,15212
11/12/2003,qui,15298
12/12/2003,sex,14975
13/12/2003,sab,13447
14/12/2003,dom,12046
15/12/2003,seg,14394
16/12/2003,ter,14796
17/12/2003,qua,14939
18/12/2003,qui,14825
19/12/2003,sex,14611
20/12/2003,sab,13481
21/12/2003,dom,12321
22/12/2003,seg,14430
23/12/2003,ter,14693
24/12/2003,qua,13898
25/12/2003,qui,12131
26/12/2003,sex,13663
27/12/2003,sab,13002
28/12/2003,dom,11886
29/12/2003,seg,13750
30/12/2003,ter,14232
31/12/2003,qua,13795
01/01/2004,qui,10662
02/01/2004,sex,11680
03/01/2004,sab,11494
04/01/2004,dom,10818
05/01/2004,seg,12647
06/01/2004,ter,13052
07/01/2004,qua,11669
08/01/2004,qui,13306
09/01/2004,sex,13137
10/01/2004,sab,12163
11/01/2004,dom,10974
12/01/2004,seg,12727
13/01/2004,ter,12842
14/01/2004,qua,12623
15/01/2004,qui,12869
16/01/2004,sex,12892
17/01/2004,sab,11208
18/01/2004,dom,10194
19/01/2004,seg,12422
20/01/2004,ter,12725
21/01/2004,qua,11961
22/01/2004,qui,12822
23/01/2004,sex,12544
24/01/2004,sab,11223
25/01/2004,dom,10314
26/01/2004,seg,12490
27/01/2004,ter,12875
28/01/2004,qua,12920
29/01/2004,qui,12530
30/01/2004,sex,12051
31/01/2004,sab,11185
01/02/2004,dom,10605
02/02/2004,seg,12628
03/02/2004,ter,12862
04/02/2004,qua,12492
05/02/2004,qui,12446
06/02/2004,sex,12593
07/02/2004,sab,11468
08/02/2004,dom,10298
09/02/2004,seg,12169
10/02/2004,ter,12698
11/02/2004,qua,12925
12/02/2004,qui,12958
13/02/2004,sex,12987
14/02/2004,sab,12365
15/02/2004,dom,10413
16/02/2004,seg,12479
17/02/2004,ter,12924
18/02/2004,qua,12995
19/02/2004,qui,12919
20/02/2004,sex,12737
21/02/2004,sab,11734
22/02/2004,dom,10474
23/02/2004,seg,11130
24/02/2004,ter,10675
25/02/2004,qua,11983
26/02/2004,qui,12686
27/02/2004,sex,12533
28/02/2004,sab,11764
29/02/2004,dom,10779
01/03/2004,seg,12649
02/03/2004,ter,13172
03/03/2004,qua,13470
04/03/2004,qui,13425
05/03/2004,sex,13199
06/03/2004,sab,11909
07/03/2004,dom,10797
08/03/2004,seg,12844
09/03/2004,ter,12926
10/03/2004,qua,12915
11/03/2004,qui,13118
12/03/2004,sex,13146
13/03/2004,sab,11842
14/03/2004,dom,10879
15/03/2004,seg,12855
16/03/2004,ter,13085
